country_name,new_confirmed,date,location_key,cumulative_tested,new_persons_vaccinated,new_deceased
South Africa,0,2020-01-01,ZA,NA,NA,0
South Africa,0,2020-01-02,ZA,NA,NA,0
South Africa,0,2020-01-03,ZA,NA,NA,0
South Africa,0,2020-01-04,ZA,NA,NA,0
South Africa,0,2020-01-05,ZA,NA,NA,0
South Africa,0,2020-01-06,ZA,NA,NA,0
South Africa,0,2020-01-07,ZA,NA,NA,0
South Africa,0,2020-01-08,ZA,NA,NA,0
South Africa,0,2020-01-09,ZA,NA,NA,0
South Africa,0,2020-01-10,ZA,NA,NA,0
South Africa,0,2020-01-11,ZA,NA,NA,0
South Africa,0,2020-01-12,ZA,NA,NA,0
South Africa,0,2020-01-13,ZA,NA,NA,0
South Africa,0,2020-01-14,ZA,NA,NA,0
South Africa,0,2020-01-15,ZA,NA,NA,0
South Africa,0,2020-01-16,ZA,NA,NA,0
South Africa,0,2020-01-17,ZA,NA,NA,0
South Africa,0,2020-01-18,ZA,NA,NA,0
South Africa,0,2020-01-19,ZA,NA,NA,0
South Africa,0,2020-01-20,ZA,NA,NA,0
South Africa,0,2020-01-21,ZA,NA,NA,0
South Africa,0,2020-01-22,ZA,NA,NA,0
South Africa,0,2020-01-23,ZA,NA,NA,0
South Africa,0,2020-01-24,ZA,NA,NA,0
South Africa,0,2020-01-25,ZA,NA,NA,0
South Africa,0,2020-01-26,ZA,NA,NA,0
South Africa,0,2020-01-27,ZA,NA,NA,0
South Africa,0,2020-01-28,ZA,NA,NA,0
South Africa,0,2020-01-29,ZA,NA,NA,0
South Africa,0,2020-01-30,ZA,NA,NA,0
South Africa,0,2020-01-31,ZA,NA,NA,0
South Africa,0,2020-02-01,ZA,NA,NA,0
South Africa,0,2020-02-02,ZA,NA,NA,0
South Africa,0,2020-02-03,ZA,NA,NA,0
South Africa,0,2020-02-04,ZA,NA,NA,0
South Africa,0,2020-02-05,ZA,NA,NA,0
South Africa,0,2020-02-06,ZA,42,NA,0
South Africa,0,2020-02-07,ZA,NA,NA,0
South Africa,0,2020-02-08,ZA,NA,NA,0
South Africa,0,2020-02-09,ZA,NA,NA,0
South Africa,0,2020-02-10,ZA,61,NA,0
South Africa,0,2020-02-11,ZA,NA,NA,0
South Africa,0,2020-02-12,ZA,67,NA,0
South Africa,0,2020-02-13,ZA,71,NA,0
South Africa,0,2020-02-14,ZA,NA,NA,0
South Africa,0,2020-02-15,ZA,NA,NA,0
South Africa,0,2020-02-16,ZA,NA,NA,0
South Africa,0,2020-02-17,ZA,NA,NA,0
South Africa,0,2020-02-18,ZA,95,NA,0
South Africa,0,2020-02-19,ZA,106,NA,0
South Africa,0,2020-02-20,ZA,NA,NA,0
South Africa,0,2020-02-21,ZA,NA,NA,0
South Africa,0,2020-02-22,ZA,NA,NA,0
South Africa,0,2020-02-23,ZA,116,NA,0
South Africa,0,2020-02-24,ZA,NA,NA,0
South Africa,0,2020-02-25,ZA,121,NA,0
South Africa,0,2020-02-26,ZA,NA,NA,0
South Africa,0,2020-02-27,ZA,NA,NA,0
South Africa,0,2020-02-28,ZA,NA,NA,0
South Africa,0,2020-02-29,ZA,NA,NA,0
South Africa,0,2020-03-01,ZA,160,NA,0
South Africa,0,2020-03-02,ZA,164,NA,0
South Africa,5,2020-03-03,ZA,NA,NA,0
South Africa,0,2020-03-04,ZA,NA,NA,0
South Africa,1,2020-03-05,ZA,200,NA,0
South Africa,1,2020-03-06,ZA,241,NA,0
South Africa,0,2020-03-07,ZA,NA,NA,0
South Africa,4,2020-03-08,ZA,NA,NA,0
South Africa,0,2020-03-09,ZA,NA,NA,0
South Africa,6,2020-03-10,ZA,645,NA,0
South Africa,4,2020-03-11,ZA,848,NA,0
South Africa,7,2020-03-12,ZA,924,NA,0
South Africa,14,2020-03-13,ZA,1017,NA,0
South Africa,13,2020-03-14,ZA,1476,NA,0
South Africa,11,2020-03-15,ZA,2405,NA,0
South Africa,23,2020-03-16,ZA,2911,NA,0
South Africa,65,2020-03-17,ZA,3070,NA,0
South Africa,51,2020-03-18,ZA,4832,NA,0
South Africa,35,2020-03-19,ZA,6438,NA,0
South Africa,0,2020-03-20,ZA,7425,NA,0
South Africa,34,2020-03-21,ZA,9315,NA,0
South Africa,128,2020-03-22,ZA,12815,NA,0
South Africa,152,2020-03-23,ZA,15529,NA,0
South Africa,155,2020-03-24,ZA,NA,NA,0
South Africa,218,2020-03-25,ZA,20471,NA,0
South Africa,243,2020-03-26,ZA,28537,NA,1
South Africa,17,2020-03-27,ZA,31963,NA,0
South Africa,93,2020-03-28,ZA,35593,NA,0
South Africa,46,2020-03-29,ZA,38409,NA,2
South Africa,27,2020-03-30,ZA,41072,NA,2
South Africa,27,2020-03-31,ZA,44292,NA,0
South Africa,82,2020-04-01,ZA,47965,NA,0
South Africa,43,2020-04-02,ZA,50361,NA,2
South Africa,80,2020-04-03,ZA,53937,NA,2
South Africa,70,2020-04-04,ZA,56873,NA,2
South Africa,31,2020-04-05,ZA,58098,NA,1
South Africa,63,2020-04-06,ZA,NA,NA,1
South Africa,96,2020-04-07,ZA,63776,NA,5
South Africa,89,2020-04-08,ZA,68874,NA,0
South Africa,69,2020-04-09,ZA,73028,NA,6
South Africa,25,2020-04-10,ZA,75053,NA,1
South Africa,145,2020-04-11,ZA,80085,NA,0
South Africa,99,2020-04-12,ZA,83663,NA,2
South Africa,143,2020-04-13,ZA,87022,NA,0
South Africa,91,2020-04-14,ZA,90515,NA,7
South Africa,99,2020-04-15,ZA,95060,NA,14
South Africa,178,2020-04-16,ZA,100827,NA,2
South Africa,251,2020-04-17,ZA,108021,NA,2
South Africa,124,2020-04-18,ZA,114711,NA,2
South Africa,142,2020-04-19,ZA,121510,NA,4
South Africa,165,2020-04-20,ZA,126937,NA,0
South Africa,170,2020-04-21,ZA,133774,NA,7
South Africa,318,2020-04-22,ZA,143570,NA,10
South Africa,267,2020-04-23,ZA,152390,NA,4
South Africa,141,2020-04-24,ZA,161004,NA,7
South Africa,185,2020-04-25,ZA,168643,NA,1
South Africa,247,2020-04-26,ZA,178470,NA,3
South Africa,203,2020-04-27,ZA,185497,NA,3
South Africa,354,2020-04-28,ZA,197127,NA,10
South Africa,297,2020-04-29,ZA,207530,NA,0
South Africa,304,2020-04-30,ZA,217522,NA,13
South Africa,385,2020-05-01,ZA,230686,NA,7
South Africa,447,2020-05-02,ZA,245747,NA,8
South Africa,437,2020-05-03,ZA,257541,NA,7
South Africa,219,2020-05-04,ZA,268064,NA,10
South Africa,369,2020-05-05,ZA,279379,NA,5
South Africa,424,2020-05-06,ZA,292153,NA,8
South Africa,663,2020-05-07,ZA,307752,NA,17
South Africa,525,2020-05-08,ZA,324079,NA,8
South Africa,595,2020-05-09,ZA,341336,NA,8
South Africa,637,2020-05-10,ZA,356067,NA,12
South Africa,698,2020-05-11,ZA,369697,NA,0
South Africa,724,2020-05-12,ZA,386352,NA,13
South Africa,665,2020-05-13,ZA,403018,NA,19
South Africa,785,2020-05-14,ZA,421555,NA,9
South Africa,831,2020-05-15,ZA,439559,NA,14
South Africa,1160,2020-05-16,ZA,460873,NA,3
South Africa,918,2020-05-17,ZA,475071,NA,22
South Africa,767,2020-05-18,ZA,488609,NA,26
South Africa,803,2020-05-19,ZA,505861,NA,27
South Africa,1134,2020-05-20,ZA,525433,NA,30
South Africa,988,2020-05-21,ZA,543032,NA,28
South Africa,1218,2020-05-22,ZA,564370,NA,10
South Africa,1240,2020-05-23,ZA,583855,NA,22
South Africa,1032,2020-05-24,ZA,596777,NA,52
South Africa,649,2020-05-25,ZA,605991,NA,43
South Africa,1673,2020-05-26,ZA,634996,NA,28
South Africa,1466,2020-05-27,ZA,655723,NA,25
South Africa,1837,2020-05-28,ZA,680175,NA,34
South Africa,1727,2020-05-29,ZA,701883,NA,32
South Africa,1716,2020-05-30,ZA,725125,NA,40
South Africa,1674,2020-05-31,ZA,742742,NA,22
South Africa,1455,2020-06-01,ZA,761534,NA,50
South Africa,1713,2020-06-02,ZA,785979,NA,37
South Africa,3267,2020-06-03,ZA,820675,NA,56
South Africa,2642,2020-06-04,ZA,850871,NA,60
South Africa,2539,2020-06-05,ZA,891668,NA,44
South Africa,2312,2020-06-06,ZA,920064,NA,46
South Africa,2594,2020-06-07,ZA,943059,NA,82
South Africa,2112,2020-06-08,ZA,968070,NA,82
South Africa,2430,2020-06-09,ZA,998400,NA,48
South Africa,3147,2020-06-10,ZA,1028399,NA,74
South Africa,3359,2020-06-11,ZA,1060425,NA,70
South Africa,3809,2020-06-12,ZA,1087887,NA,69
South Africa,4302,2020-06-13,ZA,1121958,NA,57
South Africa,3495,2020-06-14,ZA,1148933,NA,88
South Africa,2801,2020-06-15,ZA,1172513,NA,57
South Africa,4078,2020-06-16,ZA,1207360,NA,49
South Africa,3478,2020-06-17,ZA,1228098,NA,63
South Africa,3825,2020-06-18,ZA,1260434,NA,94
South Africa,4966,2020-06-19,ZA,1293608,NA,46
South Africa,4621,2020-06-20,ZA,1328060,NA,53
South Africa,4288,2020-06-21,ZA,1353176,NA,61
South Africa,4518,2020-06-22,ZA,1382772,NA,111
South Africa,5688,2020-06-23,ZA,1416894,NA,103
South Africa,6579,2020-06-24,ZA,1460012,NA,87
South Africa,6215,2020-06-25,ZA,1493104,NA,48
South Africa,7210,2020-06-26,ZA,1529009,NA,73
South Africa,6334,2020-06-27,ZA,1567084,NA,43
South Africa,6130,2020-06-28,ZA,1596995,NA,73
South Africa,6945,2020-06-29,ZA,1630008,NA,128
South Africa,8124,2020-06-30,ZA,1666939,NA,92
South Africa,8728,2020-07-01,ZA,1706127,NA,95
South Africa,9063,2020-07-02,ZA,1745153,NA,108
South Africa,10853,2020-07-03,ZA,1792078,NA,74
South Africa,8773,2020-07-04,ZA,1830161,NA,173
South Africa,8971,2020-07-05,ZA,1864111,NA,111
South Africa,10134,2020-07-06,ZA,1907532,NA,192
South Africa,8810,2020-07-07,ZA,1944399,NA,100
South Africa,13674,2020-07-08,ZA,2000569,NA,118
South Africa,12348,2020-07-09,ZA,2057232,NA,140
South Africa,13497,2020-07-10,ZA,2108570,NA,111
South Africa,12058,2020-07-11,ZA,2154391,NA,108
South Africa,11554,2020-07-12,ZA,2194624,NA,93
South Africa,10496,2020-07-13,ZA,2232738,NA,174
South Africa,12757,2020-07-14,ZA,2278127,NA,107
South Africa,13172,2020-07-15,ZA,2324923,NA,216
South Africa,13373,2020-07-16,ZA,2373053,NA,135
South Africa,13285,2020-07-17,ZA,2422741,NA,144
South Africa,13449,2020-07-18,ZA,2471747,NA,85
South Africa,9300,2020-07-19,ZA,2505646,NA,140
South Africa,8170,2020-07-20,ZA,2536921,NA,195
South Africa,13150,2020-07-21,ZA,2585474,NA,572
South Africa,13104,2020-07-22,ZA,2632106,NA,153
South Africa,13944,2020-07-23,ZA,2684488,NA,250
South Africa,12204,2020-07-24,ZA,2730812,NA,312
South Africa,11233,2020-07-25,ZA,2773778,NA,114
South Africa,7097,2020-07-26,ZA,2802211,NA,298
South Africa,7231,2020-07-27,ZA,2830635,NA,190
South Africa,11362,2020-07-28,ZA,2873163,NA,240
South Africa,11046,2020-07-29,ZA,2918049,NA,315
South Africa,11014,2020-07-30,ZA,2959535,NA,193
South Africa,10107,2020-07-31,ZA,3001985,NA,148
South Africa,8195,2020-08-01,ZA,3036779,NA,213
South Africa,5377,2020-08-02,ZA,3058695,NA,0
South Africa,4456,2020-08-03,ZA,3078202,NA,518
South Africa,8559,2020-08-04,ZA,3113191,NA,414
South Africa,8307,2020-08-05,ZA,3149807,NA,306
South Africa,7292,2020-08-06,ZA,3183658,NA,305
South Africa,7712,2020-08-07,ZA,3220265,NA,301
South Africa,6671,2020-08-08,ZA,3250583,NA,198
South Africa,3739,2020-08-09,ZA,3267494,NA,213
South Africa,2511,2020-08-10,ZA,3278977,NA,130
South Africa,2810,2020-08-11,ZA,3295434,NA,259
South Africa,3946,2020-08-12,ZA,3315497,NA,260
South Africa,6275,2020-08-13,ZA,3351111,NA,286
South Africa,4513,2020-08-14,ZA,3378029,NA,121
South Africa,3692,2020-08-15,ZA,3400638,NA,162
South Africa,2541,2020-08-16,ZA,3415670,NA,143
South Africa,2258,2020-08-17,ZA,3430347,NA,282
South Africa,3916,2020-08-18,ZA,3455671,NA,159
South Africa,3880,2020-08-19,ZA,3480283,NA,195
South Africa,3398,2020-08-20,ZA,3504507,NA,225
South Africa,3707,2020-08-21,ZA,3535067,NA,144
South Africa,2728,2020-08-22,ZA,3553425,NA,72
South Africa,1677,2020-08-23,ZA,3564065,NA,100
South Africa,1567,2020-08-24,ZA,3578836,NA,149
South Africa,2684,2020-08-25,ZA,3598973,NA,194
South Africa,0,2020-08-26,ZA,3617982,NA,0
South Africa,4431,2020-08-27,ZA,3632311,NA,241
South Africa,2419,2020-08-28,ZA,3652970,NA,238
South Africa,2505,2020-08-29,ZA,3674872,NA,47
South Africa,1985,2020-08-30,ZA,3693721,NA,121
South Africa,1218,2020-08-31,ZA,3705408,NA,114
South Africa,2336,2020-09-01,ZA,3726721,NA,126
